year_month_day,ma_20,ma_50,rsi,macd,macd_signal,bb_high,bb_low,roc,not,red_green,close
2017-12-06,11776.892000000002,10874.109,89.69852150541945,1350.4810143047562,1030.7087068610329,12721.962595988112,6354.404404011886,66.50344064880805,40196,green,13550.05
2017-12-07,12918.689999999999,11569.009,93.46495763698815,1715.2915712572321,1167.6252797402728,14300.468252470622,5665.879747529376,90.79288414611017,57541,green,16599.0
2017-12-08,13861.607999999998,12167.329000000002,85.52384198577518,1924.2082005361572,1318.9418638994498,15282.719402044091,5495.4345979559075,73.96982039916652,84727,red,15880.0
2017-12-09,14477.022,12664.148,73.99817449033941,1968.3255801645319,1448.8186071524663,15823.477408420622,5616.4835915793765,51.876373056994815,66738,red,14656.07
2017-12-10,15117.02,13170.25,74.72907412932946,1999.9166259683643,1559.038210915646,16330.256285500098,5778.5027144999,50.55351224638267,80669,green,14899.98
2017-12-11,15724.603999999998,13750.748000000001,79.10626043209993,2136.530845604204,1674.5367378533579,17091.995289350474,5863.609710649529,71.22394166732043,71373,green,16587.97
2017-12-12,15674.802,14296.746,77.07920157363881,2200.232688958733,1779.6759280744332,17669.68413301793,6100.327866982067,66.17599827624059,76032,red,16349.99
2017-12-13,15705.460000000001,14783.534,74.34882893358144,2199.803846128705,1863.7015116852876,18054.063638040152,6517.278361959849,48.690576546950346,83847,red,16033.29
2017-12-14,16041.242000000002,15259.132000000001,75.24830017153249,2198.465307203427,1930.6542707889155,18391.237210855874,6999.802789144128,49.99967860451918,86150,green,16334.98
2017-12-15,16569.212,15843.116,78.49197536337431,2268.476248988998,1998.218666428932,18896.019332278054,7379.002667721943,57.09078305230172,85478,green,17539.83
2017-12-16,17072.15,16398.377,81.82002018781432,2422.146744701464,2083.0042820834387,19641.813804198697,7630.672195801302,64.97676828741687,51777,green,19102.66
2017-12-17,17574.156,16624.479,79.75658638485285,2495.585147385573,2165.5204551438655,20220.31963669918,7973.1683633008215,61.19688991187172,84581,red,18860.02
2017-12-18,18138.748,16922.104,79.72294468541455,2524.3818999456507,2237.292744104223,20684.597173720846,8404.835826279155,39.160003099619566,91956,red,18856.25
2017-12-19,18330.792,17186.017,67.10163023519118,2393.6473681913485,2268.563668921648,20748.713777039673,9101.451222960328,4.194228567986028,116569,red,17295.2
2017-12-20,18120.622000000003,17344.917,61.67130511741056,2199.628149658016,2254.7765650689216,20623.01733632775,9892.149663672248,3.8348866498740524,129762,red,16488.98
2017-12-21,17398.618,17235.384,55.67490097173947,1943.0716889876494,2192.4355898526674,20450.154372661487,10535.977627338514,5.708010401151194,117731,red,15492.64
2017-12-22,16291.935999999998,16933.046000000002,45.351147575156254,1547.133929898473,2063.3752578618287,20220.80919402957,11008.982805970427,-10.559544375227341,243261,red,13326.61
